"stop_id","stop_name","stop_desc","stop_lon","stop_lat"
"90320","Forest Hills","Not Shady   ",-75.0205556,40.1277778
"90221","Manayunk","Not Shady   ",-75.225,40.0269444
"90409","Elkins Park","Not Shady   ",-75.1277778,40.0713889
"90318","Bethayres","Not Shady   ",-75.0683333,40.1166667
"90522","Overbrook","Not Shady   ",-75.2494444,39.9894444
"90523","North Hills","Not Shady   ",-75.1694444,40.1119444
"90516","Bryn Mawr","Not Shady   ",-75.3163889,40.0219444
"90518","Ardmore","Not Shady   ",-75.2902778,40.0083333
"90805","Carpenter","Not Shady   ",-75.1913889,40.0511111
"90701","Trenton","Not Shady   ",-74.755,40.2177778
"90811","Olney","Not Shady   ",-75.1227778,40.0333333
"90301","Elwyn","Not Shady   ",-75.4116667,39.9075
"90210","Ridley Park","Not Shady   ",-75.3222222,39.8805556
"90802","Highland","Kind of Shady   ",-75.2111111,40.0705556
"90531","Lansdale","Not Shady   ",-75.285,40.2427778
"90214","Folcroft","Not Shady   ",-75.2797222,39.9005556
"90710","Bridesburg","Not Shady   ",-75.0697222,40.0105556
"90003","Wynnefield Avenue","Not Shady   ",-75.2255556,39.99
"90301","Elwyn","Not Shady   ",-75.4116667,39.9075
"90319","Philmont","Not Shady   ",-75.0436111,40.1219444
"90713","Germantown","Not Shady   ",-75.1716667,40.0375
"90008","North Broad","Not Shady   ",-75.1538889,39.9922222
"90712","Wister","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1611111,40.0361111
"90005","Suburban Station","Decently Shady   ",-75.1677778,39.9538889
"90327","West Trenton","Not Shady   ",-74.8152778,40.2577778
"90710","Bridesburg","Not Shady  Energy Bill Help within a mile",-75.0697222,40.0105556
"90203","Wilmington","Not Shady   ",-75.5511111,39.7372222
"90009","Wayne Junction","Not Shady   ",-75.16,40.0222222
"90407","Fern Rock T C","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1347222,40.0405556
"90539","9TH Street Lansdale","Not Shady   ",-75.2791667,40.25
"90709","Tacony","Not Shady   ",-75.0388889,40.0233333
"90302","Media","Not Shady   ",-75.395,39.9144444
"90322","Trevose","Not Shady   ",-74.9825,40.1402778
"90216","Curtis Park","Not Shady   ",-75.265,39.9080556
"90006","Jefferson Station","Kind of Shady   ",-75.1580556,39.9525
"90717","Mount Airy","Not Shady   ",-75.1908333,40.0652778
"90313","Angora","Not Shady   ",-75.2386111,39.9447222
"90703","Bristol","Not Shady   ",-74.8547222,40.1047222
"90708","Holmesburg Jct","Not Shady   ",-75.0236111,40.0327778
"90319","Philmont","Not Shady   ",-75.0436111,40.1219444
"90538","Doylestown","Not Shady   ",-75.1302778,40.3063889
"90714","Washington Lane","Not Shady  Energy Bill Help within a mile",-75.1713889,40.0508333
"90306","Morton-Rutledge","Not Shady   ",-75.3288889,39.9077778
"90312","Fernwood-Yeadon","Not Shady   ",-75.2558333,39.9397222
"90317","Meadowbrook","Not Shady   ",-75.0925,40.1113889
"90804","Allen Lane","Not Shady   ",-75.1947222,40.0575
"90004","30th Street Station","Not Shady   ",-75.1816667,39.9566667
"90315","Noble","Not Shady   ",-75.1241667,40.1044444
"90709","Tacony","Not Shady   ",-75.0388889,40.0233333
"90717","Mount Airy","Not Shady   ",-75.1908333,40.0652778
"90417","Warminster","Not Shady   ",-75.0891667,40.1952778
"90503","Whitford","Not Shady   ",-75.6380556,40.0147222
"90707","Torresdale","Kind of Shady   ",-74.9844444,40.0544444
"90407","Fern Rock T C","Not Shady  Energy Bill Help within a mile",-75.1347222,40.0405556
"90223","Miquon","Not Shady   ",-75.2663889,40.0586111
"90806","Upsal","Not Shady   ",-75.19,40.0425
"90407","Fern Rock T C","Not Shady   ",-75.1347222,40.0405556
"90809","Queen Lane","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1780556,40.0233333
"90414","Crestmont","Not Shady   ",-75.1186111,40.1333333
