OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape__Area,Shape__Length
1,42,101,010800,1,421010108001,Block Group 1,G5030,S,161887,0,+39.9687580,-075.1997251,1742508.07250977,8200.32717040183
2,42,101,010800,2,421010108002,Block Group 2,G5030,S,103778,0,+39.9665475,-075.2004455,1117025.55249023,4364.98014394589
3,42,101,010900,2,421010109002,Block Group 2,G5030,S,43724,0,+39.9642929,-075.1896435,470634.707885742,3048.10908437497
4,42,101,011000,2,421010110002,Block Group 2,G5030,S,108966,0,+39.9753585,-075.2113476,1172871.20806885,5169.00428238638
5,42,101,011000,1,421010110001,Block Group 1,G5030,S,142244,0,+39.9724202,-075.2051689,1531075.72814941,10476.5741289868
6,42,101,011000,3,421010110003,Block Group 3,G5030,S,111388,0,+39.9743352,-075.2073541,1198951.30987549,5524.83520755517
7,42,101,011100,4,421010111004,Block Group 4,G5030,S,147334,0,+39.9754452,-075.2281518,1585865.31420898,5762.10086112212
8,42,101,011100,2,421010111002,Block Group 2,G5030,S,249138,0,+39.9716381,-075.2209457,2681653.41900635,8140.95353111956
9,42,101,011100,3,421010111003,Block Group 3,G5030,S,86719,0,+39.9722444,-075.2259171,933400.579956055,4519.86116672525
10,42,101,011100,1,421010111001,Block Group 1,G5030,S,622507,0,+39.9770521,-075.2189613,6700488.06463623,11047.9381290439
11,42,101,011200,2,421010112002,Block Group 2,G5030,S,78510,0,+39.9723544,-075.2304396,845065.233947754,3717.8019973033
12,42,101,011200,1,421010112001,Block Group 1,G5030,S,58755,0,+39.9753874,-075.2305228,632416.44329834,3405.77651693665
13,42,101,011200,3,421010112003,Block Group 3,G5030,S,70564,0,+39.9720522,-075.2331740,759534.65246582,3528.87515587509
14,42,101,011200,6,421010112006,Block Group 6,G5030,S,64273,0,+39.9750282,-075.2347353,691818.87121582,3668.35374064581
15,42,101,011200,7,421010112007,Block Group 7,G5030,S,66714,0,+39.9750586,-075.2325820,718083.026245117,3707.51679528779
16,42,101,011200,4,421010112004,Block Group 4,G5030,S,88625,0,+39.9717287,-075.2360924,953939.019592285,3913.82552229556
17,42,101,011200,5,421010112005,Block Group 5,G5030,S,75721,0,+39.9746670,-075.2370319,815048.520263672,3723.62110572035
18,42,101,011300,1,421010113001,Block Group 1,G5030,S,149130,0,+39.9796815,-075.2369765,1605208.61541748,5156.06936319775
19,42,101,011300,3,421010113003,Block Group 3,G5030,S,81118,0,+39.9772316,-075.2362911,873132.44317627,4027.40455259074
20,42,101,011400,2,421010114002,Block Group 2,G5030,S,73787,0,+39.9800707,-075.2409494,794228.741577148,3637.30197078722
21,42,101,011400,3,421010114003,Block Group 3,G5030,S,70185,0,+39.9774501,-075.2400712,755455.69519043,3569.36971256958
22,42,101,011400,4,421010114004,Block Group 4,G5030,S,73635,0,+39.9771722,-075.2425749,792581.150939941,3638.2307134562
23,42,101,011400,1,421010114001,Block Group 1,G5030,S,211122,0,+39.9794637,-075.2477900,2272456.90948486,7611.46348881311
24,42,101,011400,5,421010114005,Block Group 5,G5030,S,141395,0,+39.9785825,-075.2446000,1521932.36437988,6035.47142113175
25,42,101,026600,8,421010266008,Block Group 8,G5030,S,67079,0,+40.0685540,-075.1503342,722013.608215332,3787.84033008514
26,42,101,026600,3,421010266003,Block Group 3,G5030,S,54281,0,+40.0669385,-075.1484171,584258.971862793,3635.05729419192
27,42,101,026600,7,421010266007,Block Group 7,G5030,S,101325,0,+40.0657082,-075.1519637,1090611.41571045,5537.91072336519
28,42,101,026600,5,421010266005,Block Group 5,G5030,S,54228,0,+40.0638642,-075.1494266,583687.10559082,3217.29937933299
29,42,101,026600,6,421010266006,Block Group 6,G5030,S,107052,0,+40.0614473,-075.1495782,1152257.05181885,4805.79609520248
30,42,101,026700,2,421010267002,Block Group 2,G5030,S,70099,0,+40.0539834,-075.1443724,754515.187133789,3590.82056656547
31,42,101,026700,4,421010267004,Block Group 4,G5030,S,124050,0,+40.0544150,-075.1476216,1335216.1975708,4622.10281591225
32,42,101,026700,6,421010267006,Block Group 6,G5030,S,77321,0,+40.0561246,-075.1508288,832260.350158691,4009.95561901226
33,42,101,026700,7,421010267007,Block Group 7,G5030,S,81257,0,+40.0571744,-075.1474844,874615.918273926,3776.31831749496
34,42,101,026700,1,421010267001,Block Group 1,G5030,S,79677,0,+40.0568565,-075.1441235,857597.466491699,3664.91745980849
