the_geom,cartodb_id,id,geographic_area_name,total
,1,1500000US421010001001,"Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",1633
,2,1500000US421010001002,"Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",1845
,3,1500000US421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2937
,4,1500000US421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",693
,5,1500000US421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",2476
,6,1500000US421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",2125
,7,1500000US421010004021,"Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania",1089
,8,1500000US421010004022,"Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania",2053
,9,1500000US421010005001,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",2329
,10,1500000US421010006001,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1781
,11,1500000US421010007001,"Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania",653
,12,1500000US421010007002,"Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania",1550
,13,1500000US421010007003,"Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania",879
,14,1500000US421010008011,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",1562
,15,1500000US421010008031,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",794
,16,1500000US421010008032,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",1070
,17,1500000US421010008033,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",694
,18,1500000US421010008034,"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",1043
,19,1500000US421010008041,"Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania",1398
,20,1500000US421010008042,"Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania",875
,21,1500000US421010008043,"Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania",1336
,22,1500000US421010009011,"Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania",1199
,23,1500000US421010009012,"Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania",1077
,24,1500000US421010009021,"Block Group 1, Census Tract 9.02, Philadelphia County, Pennsylvania",1407
,25,1500000US421010009022,"Block Group 2, Census Tract 9.02, Philadelphia County, Pennsylvania",1366
,26,1500000US421010010011,"Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania",1562
,27,1500000US421010010012,"Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania",1041
,28,1500000US421010010021,"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",1429
,29,1500000US421010010022,"Block Group 2, Census Tract 10.02, Philadelphia County, Pennsylvania",655
,30,1500000US421010010023,"Block Group 3, Census Tract 10.02, Philadelphia County, Pennsylvania",1528
,31,1500000US421010011011,"Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania",701
,32,1500000US421010011012,"Block Group 2, Census Tract 11.01, Philadelphia County, Pennsylvania",1015
,33,1500000US421010011013,"Block Group 3, Census Tract 11.01, Philadelphia County, Pennsylvania",1032
,34,1500000US421010011014,"Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania",838
,35,1500000US421010011021,"Block Group 1, Census Tract 11.02, Philadelphia County, Pennsylvania",972
,36,1500000US421010011022,"Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania",1687
,37,1500000US421010012011,"Block Group 1, Census Tract 12.01, Philadelphia County, Pennsylvania",770
,38,1500000US421010012012,"Block Group 2, Census Tract 12.01, Philadelphia County, Pennsylvania",1116
,39,1500000US421010012013,"Block Group 3, Census Tract 12.01, Philadelphia County, Pennsylvania",956
,40,1500000US421010012014,"Block Group 4, Census Tract 12.01, Philadelphia County, Pennsylvania",936
,41,1500000US421010012021,"Block Group 1, Census Tract 12.02, Philadelphia County, Pennsylvania",1461
,42,1500000US421010012022,"Block Group 2, Census Tract 12.02, Philadelphia County, Pennsylvania",1192
,43,1500000US421010012023,"Block Group 3, Census Tract 12.02, Philadelphia County, Pennsylvania",815
,44,1500000US421010012024,"Block Group 4, Census Tract 12.02, Philadelphia County, Pennsylvania",938
,45,1500000US421010012025,"Block Group 5, Census Tract 12.02, Philadelphia County, Pennsylvania",731
,46,1500000US421010013001,"Block Group 1, Census Tract 13, Philadelphia County, Pennsylvania",727
,47,1500000US421010013002,"Block Group 2, Census Tract 13, Philadelphia County, Pennsylvania",866
,48,1500000US421010013003,"Block Group 3, Census Tract 13, Philadelphia County, Pennsylvania",641
,49,1500000US421010013004,"Block Group 4, Census Tract 13, Philadelphia County, Pennsylvania",721
,50,1500000US421010013005,"Block Group 5, Census Tract 13, Philadelphia County, Pennsylvania",1987
,51,1500000US421010014001,"Block Group 1, Census Tract 14, Philadelphia County, Pennsylvania",1465
,52,1500000US421010014002,"Block Group 2, Census Tract 14, Philadelphia County, Pennsylvania",765
,53,1500000US421010014003,"Block Group 3, Census Tract 14, Philadelphia County, Pennsylvania",1720
,54,1500000US421010015001,"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",942
,55,1500000US421010015002,"Block Group 2, Census Tract 15, Philadelphia County, Pennsylvania",1766
,56,1500000US421010016001,"Block Group 1, Census Tract 16, Philadelphia County, Pennsylvania",934
,57,1500000US421010016002,"Block Group 2, Census Tract 16, Philadelphia County, Pennsylvania",1258
,58,1500000US421010017001,"Block Group 1, Census Tract 17, Philadelphia County, Pennsylvania",1197
,59,1500000US421010017002,"Block Group 2, Census Tract 17, Philadelphia County, Pennsylvania",1450
,60,1500000US421010018001,"Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",888
,61,1500000US421010018002,"Block Group 2, Census Tract 18, Philadelphia County, Pennsylvania",1985
,62,1500000US421010019001,"Block Group 1, Census Tract 19, Philadelphia County, Pennsylvania",911
,63,1500000US421010019002,"Block Group 2, Census Tract 19, Philadelphia County, Pennsylvania",1178
,64,1500000US421010019003,"Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",632
,65,1500000US421010020001,"Block Group 1, Census Tract 20, Philadelphia County, Pennsylvania",1293
,66,1500000US421010020002,"Block Group 2, Census Tract 20, Philadelphia County, Pennsylvania",799
,67,1500000US421010021001,"Block Group 1, Census Tract 21, Philadelphia County, Pennsylvania",747
,68,1500000US421010021002,"Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",1289
,69,1500000US421010022001,"Block Group 1, Census Tract 22, Philadelphia County, Pennsylvania",657
,70,1500000US421010022002,"Block Group 2, Census Tract 22, Philadelphia County, Pennsylvania",714
,71,1500000US421010022003,"Block Group 3, Census Tract 22, Philadelphia County, Pennsylvania",910
,72,1500000US421010023001,"Block Group 1, Census Tract 23, Philadelphia County, Pennsylvania",989
,73,1500000US421010023002,"Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",1693
,74,1500000US421010024001,"Block Group 1, Census Tract 24, Philadelphia County, Pennsylvania",724
,75,1500000US421010024002,"Block Group 2, Census Tract 24, Philadelphia County, Pennsylvania",1384
,76,1500000US421010024003,"Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",1307
,77,1500000US421010024004,"Block Group 4, Census Tract 24, Philadelphia County, Pennsylvania",720
,78,1500000US421010024005,"Block Group 5, Census Tract 24, Philadelphia County, Pennsylvania",994
,79,1500000US421010025001,"Block Group 1, Census Tract 25, Philadelphia County, Pennsylvania",1199
,80,1500000US421010025002,"Block Group 2, Census Tract 25, Philadelphia County, Pennsylvania",763
,81,1500000US421010025003,"Block Group 3, Census Tract 25, Philadelphia County, Pennsylvania",722
,82,1500000US421010025004,"Block Group 4, Census Tract 25, Philadelphia County, Pennsylvania",1085
,83,1500000US421010027011,"Block Group 1, Census Tract 27.01, Philadelphia County, Pennsylvania",1066
,84,1500000US421010027012,"Block Group 2, Census Tract 27.01, Philadelphia County, Pennsylvania",1196
,85,1500000US421010027013,"Block Group 3, Census Tract 27.01, Philadelphia County, Pennsylvania",1612
,86,1500000US421010027021,"Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",1118
,87,1500000US421010027022,"Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",908
,88,1500000US421010027023,"Block Group 3, Census Tract 27.02, Philadelphia County, Pennsylvania",740
,89,1500000US421010027024,"Block Group 4, Census Tract 27.02, Philadelphia County, Pennsylvania",800
,90,1500000US421010028011,"Block Group 1, Census Tract 28.01, Philadelphia County, Pennsylvania",1479
,91,1500000US421010028012,"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",1366
,92,1500000US421010028013,"Block Group 3, Census Tract 28.01, Philadelphia County, Pennsylvania",1479
,93,1500000US421010028021,"Block Group 1, Census Tract 28.02, Philadelphia County, Pennsylvania",1056
,94,1500000US421010028022,"Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",943
,95,1500000US421010028023,"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1119
,96,1500000US421010028024,"Block Group 4, Census Tract 28.02, Philadelphia County, Pennsylvania",992
,97,1500000US421010028025,"Block Group 5, Census Tract 28.02, Philadelphia County, Pennsylvania",1429
