route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
1,10,670213,"Decatur-Drummond",1004,0,267070
1,10,670214,"Parx Casino",2151,0,267068
1,10,670215,"Parx Casino via Decatur-Drummond",2156,0,267075
1,10,670216,"Decatur-Drummond",1426,0,267074
1,10,670217,"Parx Casino via Decatur-Drummond",2154,0,267075
1,10,670218,"Decatur-Drummond",1003,0,267071
1,10,670219,"Byberry Industrial Park",2153,0,267072
1,10,670220,"Decatur-Drummond",2155,0,267069
1,10,670221,"Decatur-Drummond",1002,0,267070
1,10,670222,"Decatur-Drummond",2783,0,267074
1,10,670223,"Decatur-Drummond",1001,0,267069
1,10,670224,"Decatur-Drummond",2151,0,267069
1,10,670225,"Decatur-Drummond",2157,0,267074
1,10,670226,"Roosevelt-Pratt",1009,0,267073
1,10,670227,"Parx Casino",2158,0,267068
1,10,670228,"Parx Casino",2159,0,267068
1,10,670229,"Parx Casino",1005,0,267068
1,10,670230,"Parx Casino",2160,0,267068
1,10,670231,"Parx Casino",1470,0,267068
1,10,670232,"Parx Casino via Decatur-Drummond",1003,0,267075
1,10,670233,"Parx Casino via Decatur-Drummond",1002,0,267075
1,10,670234,"Parx Casino via Decatur-Drummond",2151,0,267075
1,10,670235,"Parx Casino",1003,0,267068
1,10,670236,"Parx Casino",1005,0,267068
1,10,670237,"Byberry Industrial Park",1001,0,267072
1,10,670238,"Parx Casino via Decatur-Drummond",2152,0,267075
1,10,670239,"Byberry Industrial Park",2156,0,267072
1,10,670240,"54th-City via Drummond-Decatur",1487,1,267077
1,10,670241,"54th-City",2161,1,267076
1,10,670242,"54th-City",1009,1,267076
1,10,670243,"54th-City",2158,1,267080
1,10,670244,"54th-City",1005,1,267081
1,10,670245,"54th-City",1470,1,267081
1,10,670246,"54th-City via Drummond-Decatur",1003,1,267077
1,10,670247,"54th-City via Drummond-Decatur",2151,1,267077
1,10,670248,"54th-City",2152,1,267081
1,10,670249,"54th-City",2156,1,267080
1,10,670250,"54th-City",2154,1,267081
1,10,670251,"54th-City",2155,1,267080
1,10,670252,"54th-City",1002,1,267080
1,10,670253,"Wissahickon Transportation Center",1001,1,267083
1,10,670254,"54th-City",2151,1,267080
1,10,670255,"54th-City",2152,1,267080
1,10,670256,"54th-City via Drummond-Decatur",2160,1,267077
1,10,670257,"Wissahickon Transportation Center",1229,1,267079
1,10,670258,"Wissahickon Transportation Center",2559,1,267079
1,10,670259,"Wissahickon Transportation Center",2157,1,267083
1,10,670260,"54th-City",1005,1,267081
1,10,670261,"54th-City",1006,1,267080
1,10,670262,"54th-City",1007,1,267076
1,10,670263,"54th-City",1003,1,267080
1,10,670264,"54th-City via Drummond-Decatur",2157,1,267077
1,10,670265,"Wissahickon Transportation Center",1519,1,267078
1,10,748710,"23rd-Venango",1008,1,267082
1,10,748712,"23rd-Venango",2159,1,267082
1,10,760103,"54th-City",1006,1,267080
1,10,760104,"54th-City",1009,1,267076
12,10,670346,"Columbus-Dock",7257,0,267084
12,10,670347,"Columbus-Dock",7255,0,267084
12,10,670348,"Columbus-Dock",7256,0,267084
12,10,670349,"Columbus-Dock",7252,0,267084
12,10,670350,"Columbus-Dock",7258,0,267084
12,10,670351,"Columbus-Dock",7251,0,267084
12,10,670352,"Columbus-Dock",7255,0,267084
12,10,670353,"Columbus-Dock",7256,0,267084
12,10,670354,"Columbus-Dock",7259,0,267084
12,10,670355,"Columbus-Dock",7258,0,267084
12,10,670356,"Columbus-Dock",7251,0,267084
12,10,670357,"Columbus-Dock",7256,0,267084
12,10,670358,"Columbus-Dock",7259,0,267084
12,10,670359,"Columbus-Dock",7258,0,267084
12,10,670360,"Columbus-Dock",7260,0,267084
12,10,670361,"Columbus-Dock",7263,0,267084
12,10,670362,"Columbus-Dock",7262,0,267084
12,10,670363,"Columbus-Dock",7258,0,267084
12,10,670364,"Columbus-Dock",7261,0,267084
12,10,670365,"Columbus-Dock",7264,0,267084
12,10,670366,"Columbus-Dock",7259,0,267084
12,10,670367,"Columbus-Dock",7260,0,267084
12,10,670368,"Columbus-Dock",7262,0,267084
12,10,670369,"Columbus-Dock",7258,0,267084
12,10,670370,"Columbus-Dock",7261,0,267084
12,10,670371,"Columbus-Dock",7263,0,267084
12,10,670372,"Columbus-Dock",7264,0,267084
12,10,670373,"Columbus-Dock",7263,0,267084
12,10,670374,"Columbus-Dock",7257,0,267084
12,10,670375,"Columbus-Dock",7254,0,267084
12,10,670376,"Columbus-Dock",7263,0,267084
12,10,670377,"Columbus-Dock",7253,0,267084
12,10,670378,"Columbus-Dock",7262,0,267084
12,10,670379,"Columbus-Dock",7264,0,267084
12,10,670380,"Columbus-Dock",7262,0,267084
12,10,670381,"Columbus-Dock",7264,0,267084
12,10,670382,"Columbus-Dock",7263,0,267084
12,10,670383,"Columbus-Dock",7262,0,267084
12,10,670384,"Columbus-Dock",7264,0,267084
12,10,670385,"Columbus-Dock",7263,0,267084
12,10,670386,"Columbus-Dock",7264,0,267084
12,10,670387,"Columbus-Dock",7251,0,267084
12,10,670388,"Columbus-Dock",7252,0,267084
12,10,670389,"Columbus-Dock",7253,0,267084
12,10,670390,"Columbus-Dock",7254,0,267084
12,10,670391,"Columbus-Dock",7251,0,267084
12,10,670392,"Columbus-Dock",7255,0,267084
12,10,670393,"Columbus-Dock",7252,0,267084
12,10,670394,"Columbus-Dock",7253,0,267084
12,10,670395,"Columbus-Dock",7257,0,267084
12,10,670396,"Columbus-Dock",7254,0,267084
12,10,670397,"Columbus-Dock",7251,0,267084
12,10,670398,"Columbus-Dock",7255,0,267084
12,10,670399,"Columbus-Dock",7252,0,267084
12,10,670400,"Columbus-Dock",7256,0,267084
12,10,670401,"Columbus-Dock",7260,0,267084
12,10,670402,"Columbus-Dock",7251,0,267084
12,10,670403,"Columbus-Dock",7261,0,267084
12,10,670404,"Columbus-Dock",7255,0,267084
